Index,Index1,Comments
1,116,Omg BABY CASSANDRA
2,212,Wow
3,286,DIS-GUS-TING
4,302,2020?
5,306,@robertwelsh
6,358,CASSANDRA WHAT MASCARA IS THIS PLS
7,364,2020 ??
8,398,2020?
9,481,Meet a doctor!!!!!
10,490,Beuatiful eyes !!!!!
11,497,<b>sniff</b>
12,507,Omg I love ur eyes
13,554,bitconee
14,562,((:
15,623,Jajaja
16,684,fakeup mgtow
17,741,wow
18,780,YOU ARE BEAUTIFUL!!!
19,816,SHOON SHE SAID SHOON LOOOOOOOOOOOOOOL
20,839,RETIN-A !!!
21,855,nice
22,861,perfect make up....
23,877,nice
24,910,I rate u
25,925,Gorgeous girl!
26,930,wow ur eyes !!!
27,955,MS BANKSON TRY POCKETDERM
28,994,love
29,1010,"<a href=""http://acne.org"">acne.org</a> may help"
30,1024,transe :D
31,1078,ur gorg omg
32,1098,"i love you, brave!"
33,1140,Thank you
34,1172,Yes car
35,1175,Hi
36,1238,thank you so much
37,1241,wow....
38,1246,I love your personality.
39,1264,Youre so gorgeous! &lt;3
40,1274,I wish I had your brows
41,1321,omg
42,1384,ys
43,1390,OMG!!
44,1446,wtf youre so cute???
45,1471,MUTANT!!!!
46,1484,DOUBLE VAGINA
47,1489,respekt
48,1504,wow
49,1536,YOU ARE BEAUTIFUL!!
50,1541,IT Cosmetics try it
51,1553,lovely makeup - likes it
52,1561,YOU INSPIRE ME
53,1570,Love you
54,1595,I DONT CARE FUC K ING ACNE !! YOU ARE BEAUTIFUL !!!!11
55,1598,<br>
56,1600,OMG
57,1601,OMG
58,1603,Girl stay strong &lt;333
59,1609,Eres hermosa
60,1628,You&#39;re gorgeous
61,1640,TOO MUCH MAKEUP!!!
62,1647,waw
63,1672,"!,,,,,,<br><br>"
64,1848, 
65,1985,Thank you!
66,2074,Love your confidence girl
67,2091, 
68,2168,*SPONSORED BY SMASHBOX
69,2198,&lt;3
70,2206,you&#39;re so brave!
71,2235,.
72,2276,"I love you so, so, so, so much. "
73,2287,Hiii
74,2326,I like it 
75,2355,BEUTIFUL  I LOVE YOU ... MUACK...
76,2362,thanks so much!
77,2412,Wow
78,2480,Nice
79,2525,Asqueroso video
80,2535,wow
81,2546,I so just love ur eyes !!! 
82,2562,YOU ARE BEAUTIFUL!!!
83,2598,Flawless makeup
84,2624,ur very brave!!
85,2627,i love your eyes
86,2668,SO BEAUTIFUL.
87,2738,You&#39;re gorgeous!
88,2798,!!!ooowwwwwwwww :O 
89,2805,CC
90,2815,wow...I like!
91,2952,wow!! 
92,2996,*face
93,3016,queen 
94,3019,&lt;3
95,3023,Ihhhhhhh
96,3028,LOVE!
97,3057,YOU&#39;RE SO CUTE ILY SO MUCH
98,3095,respect
99,3121,I Love you Girl 
100,3192,Before you look better :)
101,3202,tHIS IS WHY YOU TAKE HER SWIMMING ON THE FIRST DATE
102,3234,&lt;333
103,3262,YOOOOU ARE SO BEAUTIFUL!!!!!
104,3343,Thank you :)
105,3361,respect tbh
106,3384,BEAUTIFUL
107,3385,love her &lt;3
108,3405,STOP USING MAKE-UP TO STOP THE ACNE!!!
109,3491,:0
110,3518,i love it your transfomation
111,3538,VEM BOQUETERA
