Index,Comments
116,Omg BABY CASSANDRA
212,Wow
286,DIS-GUS-TING
302,2020?
306,@robertwelsh
358,CASSANDRA WHAT MASCARA IS THIS PLS
364,2020 ??
398,2020?
481,Meet a doctor!!!!!
490,Beuatiful eyes !!!!!
497,<b>sniff</b>
507,Omg I love ur eyes
554,bitconee
562,((:
623,Jajaja
684,fakeup mgtow
741,wow
780,YOU ARE BEAUTIFUL!!!
816,SHOON SHE SAID SHOON LOOOOOOOOOOOOOOL
839,RETIN-A !!!
855,nice
861,perfect make up....
877,nice
910,I rate u
925,Gorgeous girl!
930,wow ur eyes !!!
955,MS BANKSON TRY POCKETDERM
994,love
1010,"<a href=""http://acne.org"">acne.org</a> may help"
1024,transe :D
1078,ur gorg omg
1098,"i love you, brave!"
1140,Thank you
1172,Yes car
1175,Hi
1238,thank you so much
1241,wow....
1246,I love your personality.
1264,Youre so gorgeous! &lt;3
1274,I wish I had your brows
1321,omg
1384,ys
1390,OMG!!
1446,wtf youre so cute???
1471,MUTANT!!!!
1484,DOUBLE VAGINA
1489,respekt
1504,wow
1536,YOU ARE BEAUTIFUL!!
1541,IT Cosmetics try it
1553,lovely makeup - likes it
1561,YOU INSPIRE ME
1570,Love you
1595,I DONT CARE FUC K ING ACNE !! YOU ARE BEAUTIFUL !!!!11
1598,<br>
1600,OMG
1601,OMG
1603,Girl stay strong &lt;333
1609,Eres hermosa
1628,You&#39;re gorgeous
1640,TOO MUCH MAKEUP!!!
1647,waw
1672,"!,,,,,,<br><br>"
1848, 
1985,Thank you!
2074,Love your confidence girl
2091, 
2168,*SPONSORED BY SMASHBOX
2198,&lt;3
2206,you&#39;re so brave!
2235,.
2276,"I love you so, so, so, so much. "
2287,Hiii
2326,I like it 
2355,BEUTIFUL  I LOVE YOU ... MUACK...
2362,thanks so much!
2412,Wow
2480,Nice
2525,Asqueroso video
2535,wow
2546,I so just love ur eyes !!! 
2562,YOU ARE BEAUTIFUL!!!
2598,Flawless makeup
2624,ur very brave!!
2627,i love your eyes
2668,SO BEAUTIFUL.
2738,You&#39;re gorgeous!
2798,!!!ooowwwwwwwww :O 
2805,CC
2815,wow...I like!
2952,wow!! 
2996,*face
3016,queen 
3019,&lt;3
3023,Ihhhhhhh
3028,LOVE!
3057,YOU&#39;RE SO CUTE ILY SO MUCH
3095,respect
3121,I Love you Girl 
3192,Before you look better :)
3202,tHIS IS WHY YOU TAKE HER SWIMMING ON THE FIRST DATE
3234,&lt;333
3262,YOOOOU ARE SO BEAUTIFUL!!!!!
3343,Thank you :)
3361,respect tbh
3384,BEAUTIFUL
3385,love her &lt;3
3405,STOP USING MAKE-UP TO STOP THE ACNE!!!
3491,:0
3518,i love it your transfomation
3538,VEM BOQUETERA
3545,Woooow :O
3555,O M G !!!!!!!!!!!!
3557,YOU ARE SO FRICKEN PERFECT WITH AND WITHOUT MAKEUP
3558,Oopps
3604,OMG
3617,Thanks for sharing
3644,you&#39;re gorgeous &lt;3
3655,Have you tried retin? 
3770,YOU ARR BEAUTIFUL
3784,I like
3812,YOU&#39;RE BEAUTIFUL &lt;3
3818,Wow
3827,OMG! HER EYEEEEEEEEES! &lt;3
3865,Nice
3885,bitches
3905,cc
3911,wowww!!
3940,YOU ARE BEAUTIFUL
3941,"I SWEAR TO GOD, YOU LOOK REALLY BEAUTIFUL WITH ACNE !!! "
3944,i love your confidence!!!
3988,9GAG !
3994,Youre so beautyful :)
3999,Love it
4013,Your EYES!!!OMG!GORGEOUS! <b>o</b>
4024,I love you
4081,a
4115,cool!
4118,Perfect 
4145,I like your eyes!
4171,very good
4181,Horrible
4182,Horrible
4186,Much*<br>
4199,Ugly 
4275,WTF :O
4298,Thank you
4300,thank you &lt;3
4305,"try <a href=""http://acne.org"">acne.org</a> 3 sets"
4310,Nice!
4320,YOU ARE SO BEAUTIFUL~! &lt;3
4329,I love you &lt;3
4334,Ha Ha RTL
4361,...
4377,OH MY GOD!!
4423,Thank you!!!
4435,you&#39;re gorgeous
4451,Thank you 
4464,TO EACH ITS OWN!!!!
4518,use foundation! lolol
4533,wow
4571,I love you so much
4608,U DID GOOD
4631,omg omg omg your eyes &lt;33333
4658,&lt;3
4659,i love your eyes
4680,Try ROACNETAN..
4709,Gorgeous lady (:
4727,Your eyes &gt;&gt;
4729,Model
4794,Wow banget ...like
4809,YOU ARE SO GORGEOUS WAUW
4866,Stop
4867,"Girls, pls stop"
4868,ewe
4870,YOU ARE BEAUTIFUL!
4923,Magnificent  
4940,I absolutely love your eyes! You&#39;re so gorgeous!
4955,YOU ARE BEAUTIFUL!!! &lt;3
4975,Classic beauty!!
4987,youre gorgeous!!! 
4991,YOUR GORGEZZ HUN  
5003,Nice
5051,I love your eyes!!!!!!
5062,you&#39;re a fox! 
5142,Gorgeous!
5154,"Real woman.. 3 BEAUTIFUL, BEAUTIFUL, BEAUTIFUL"
5180,Loved your video
5205,!
5229,i LOVE you!!!
5234,marry me pls 
5235,wtf!!! 20 000 000 views!! 
5239,YOU ARE BEAUTIFUL!!!! GOD BLESS YOU &lt;3 SO BRAVE.
5243,"YOU ARE LIKE THE SWEETEST PERSON EVER, AND UR GORGEOUS "
5248,Ugh!
5255,(null)
5269,perfect 
5274,cute&lt;3
5289,I love your eyes!
5350,You&#39;re * -.-
5367,ROACUTAN
5405,i loved your comment....
5410,"wow,it&#39;s like magic. :)"
5419,MAQUIAGEM FAZ MILAGRE
5422,o m g
5430,D&#39;:
5447,Omg*
5448,Omh
5455,I like it
5495,I love you
5499,HOLAAA
5512,hermosa:)
5515,nice video
5526,idc
5527,IT IS VERY GOOD FROM YOU THAT YOU MAKE THIS VIDEO ABOUT COVERING AKNE.I HAVE GOT AKNE AND IT IS REALLY BAD FOR ME.
5545,love it
5603,"
skincarEkit.info"
5641,"
skincarEkit.info"
5696,"
skincarEkit.info"
5748,"
skincarEkit.info"
5795,YOU LOOK LIKE TAYLOR SWIFT!!!!!!
5810,brave girl
5839,"
skincarEkit.info"
5844,"
skincarEkit.info"
5853,Ooh my !
5859,Super
5909,Love u!!!
5953,I love ur eyes!
5995,You&#39;re cute
6066,"salute you!
"
6113,"Ur eyes... Uh... R 
Just.perfect."
6133,Your gorgeous
6169,Use proactive
6225,I mean very beautyfull
6259,Great! Thank you :-)
6285,"
skincarEkit.info"
6289,Nice
6296,"I FEEL WHAT YOU FEEL, I HAVE A LOTS OF PIMPLES TOO :&#39;("
6313,Thanks xoxo
6328,"
skincarEkit.info"
6337,"
skincarEkit.info"
6357,And 6:28
6377,"OMG. Youre so brave,"
6393,U look like a man
6419,"omg
"
6423,"YOUR AMAZING!
"
6435,you&#39;re gorgeous
6482,so much respect! 3
6492,"Beauttiful :)
"
6495,I love your eyes.
6496,:(
6498,YOUR BEAUTIFUL WITH AND WITHOUT MAKE UP
6520,YOU GO GIRL! 
6535,I like your confidence :)
6552,ugh.
6559,baaaaaahhhhh
6613,grooooooooooooooooooooooooooooooooooooooooooooooooooooss
6615,"OH MY GOD. WITHOUT MAKE LOOKS HORRIBLE IN MY OPINION. YOU NEED 100% MAKE UP........
"
6633,"you look like my but
"
6634,"you look bad
"
6661,@ JACOB. YOU&#39;RE PATHETIC!
6736,"Great video, your makeup looks flawless!"
6746,/watch?v=TJBR5IOLI7w 
6836,"
skincarEkit.info"
6846,Respect.
6855,It looks so cakey
6871,"i love your eyes!!!
"
6918,Omg
6947,YOUR EYES OMG YAS
6991,oh my
7048,"
skincarEkit.info"
7056,Omg:(
7094,Yikes
7102,YOU&#39;RE SO BEAUTIFUL!! x
7161,CHECK OUT MY HUGE GIVEAWAY ON MY CHANNEL!!!
7170,"Thank you so ,u"
7197,i love your eyes
7210,Respect!
7227,"Ur perfect &lt;3
"
7230,"nice....!!!!!!!!!!
"
7280,Wooooow
7296,"YOU&#39;RE BEAUTIFUL WITHOUT MAKEUP
"
7307,&lt;3!
7316,"Thank you Rafael&lt;3
"
7328,Proactive*? lol xD
7332,Try Proaktiv
7356,"YOU ARE BEAUTIFUL WITH OUT MAKE UP, TOO."
7385,Luv u
7388,"love your eyes
"
7392,Your gorg!!
7439,master .-.
7447,(&#39;:
7449,I love her.
7465,Subscribed:)
7478,you&#39;re*
7494,YOU ARE AMAZING! TKS!!!!! LORENA FROM ECUADOR
7562,Hi
7571,10:29 lol..
7572,Wooow
7623,you&#39;re*
7624,Thank you so much !
7625,Thank you so much !
7626,*your
7636,I LOVE YOU 3
7637,Fake bitch
7674,YOU ARE SO BRAVE
7697,Omg perfect covereg
7761,Girlpower
7764,"
skincarEkit.info"
7783,"
skincarEkit.info"
7807,._.
7849,I love u
7855,"
skincarEkit.info"
7874,"
skincarEkit.info"
7886,"
skincarEkit.info"
7918,try proactiv
7920,RESPEKT ! :)
8012,OoMmGg
8016,youre brave! keep going
8020,"
skincarEkit.info"
8029,Too much blush
8043,Omg
8071,She&#39;s gorgeous!
8072,Proactive
8120,Nice
8122,i like u..u r cute
8156,Inspiration
8165,Thanks ;)
8206,"you&#39;re gorgeous :)!
"
8223,"Congrats!!
"
8228,:]
8245,INCREIBLE
8246,Wow
8264,Thanks for sharing
8278,OH MY GOD :O
8289,OMG
8339,Ur a model
8361,you look like my mom
8362,She&#39;s gorgeous! &lt;3&lt;3
8363,Thank you
8376,IMPAKTADA
8420,AMAZING!
8462,YOU&#39;RE BEAUTIFUL WITHOUT MAKEUP!
8495,Wwwwwwwwoooooooooooowwwwwww
8528,If you stop using MAC face products
8559,YOU ARE SOOOOOOOOOOOOOOOOOOOOOOOO PRETTY!!!!!!!!!!!!!!!!!!
8566,hard luck!
8568,I love you so much &lt;3 
8573,LOVE your eyes!
8625,Check out my channel! :)
8645,If you keep putting mac
8649,Try proactiv
8668,Cool
8679,Ypu&#39;re gorgeous!
8692,Ugly bitch
8711,Check out our channel!:)
8760,God Bless You...
8763,You idiot
8790,wow
8793,gross
8835,gross.
8866,*eyes *you
8970,LoL
8994,Yeah
9006,"
skincarEkit.info"
9084,aww ure sweet..
9085,You&#39;re brave 3
9097,"ACNE 101

MY PAGE :)"
9102,Your gorgeous!
9132,"
skincarEkit.info"
9134,1:16 HOLY SHIT 
9138,Ur gorgeous!
9148,Cool
9150,"So cute, girl! 
OXXO&#39;s!! ;)"
9175,respect!!! mwahhhh
9226,UR So ORETTY
9227,wow!!
9239,YOU ARE SO BEAUTIFUL WITHOUT MAKE UP :*
9281,I love your eyes!!
9290,You rock&#39;s
9302,Me too
9316,INVESTIGATION DISCOVERY
9319,"me too
"
9380,You&#39;re so brave :)
9402,I&#39;m sorry ..
9408,You. Are. Gorgeous.
9415,Wahoo
9458,Respect!!! 
9475,:OO...
9493,Real respect x
9506,It looks terrible!
9535,Ugly man
9541,"
skincarEkit.info"
9546,I love ur eyes
9549,Im loving your eyes!
9585,"
skincarEkit.info"
9613,Like...nice
9666,ehh........
9691,woooow .............................
9755,"
skincarEkit.info"
9762,OMG YOU ARE SOSOSOSOSOSOSOSOSOSOSOOOOOOOOOOOOO PRETTY!
9835,"
skincarEkit.info"
9888,waw
9945,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwww
10136,"
skincarEkit.info"
10184,"
skincarEkit.info"
10194,LOVE THIS U ARE TRULY BEAUTIFUL
10206,ecm2
10239,"U ARE BEAUTIFUL, U DON&#39;T NEED MAKE UP "
10270,"
skincarEkit.info"
10310,"
skincarEkit.info"
10348,"
skincarEkit.info"
10355,Love your eyes
10496,Woah. On your face?
10503,Advertising? Sure.
10512,"
skincarEkit.info"
10517,You&#39;re so brave ;)
10558,wow *__* 
10600,Wow!!!
10626,WHY SO MANY SKIN CARE DOT INFO ]:
10675,Wow
10688,she&#39;s like a princess
10728,QUIT SPAMMING
10750,Try bareMinerals
10775,wow
10776,Try proactive! Best advice
10791,"
skincarEkit.info"
10792,"PLEASE CHECK OUT MY TRANSFORMATION !! AND SUBSCRIBE 
WOULD MEAN ALOT . THANK YOU XXXX"
10811,hmmmmm.....
10845,Thank you
10887,Hilly
10940,"
skincarEkit.info"
10956,*new
10987,good
10989,Wow you&#39;re gorgeous
11027,"nice!!! 
"
11094,YOU ARE GORGEOUS
11169,U r gorgeous!(:
11175,be confident
11197,Ur gorg!
11234,"danggggggggggggg
"
11244,handsdown!
11263,Antibiotics! !
11300,"true

"
11352,dewet
11400,"
skincarEkit.info"
11410,Hej
11454,"my inspiration &lt;3
"
11458,Takes great courage!
11477,Good!
11511,Created*
11522,&lt;3
11544,You&#39;re so brave! 
11549,*subscribe
11590,Wow
11615,"wowwwwww :)
"
11629,&lt;3
11637,what? :o
11638,ur gorgeous! !
11641,"
skincarEkit.info"
11673,ewwwwww
11683,Hey your on TV!
11689,you&#39;re gorgeous! 
11706,Wow your gorgeous
11712,Wow
11717,"
skincarEkit.info"
11740,Yo
11746,"wow youre good
"
11775,18.183.785 views  WOW
11828,"
skincarEkit.info"
11839,ur gorgeous
11851,FUCK OFF TROLL
11869,your eyes &lt;33
11892,Make me 
11897,STFU
11898,Gorgeous &lt;3
11900,eww 
11905,Your eyes
11913,"
skincarEkit.info"
11917,I subscribed! :)
11952,my biggest fan&lt;3
11955,It
11962,Great video
11997,Awwhhh-3
11999,"wowowowowo
"
12025,Wow!
12061,"
skincarEkit.info"
12132,"
skincarEkit.info"
12149,"RESPECT
"
12170,So good
12178,Did u
12198,WOW!! NICE! 
12219,"
skincarEkit.info"
12230,Your my fave
12235,So brave?
12249,You&#39;re sooo brave...
12257,STOP SPAMMING ABOUT THIS SHIT
12283,you&#39;re so brave &lt;3
12313,ooooooooooooh!!!
12314,Thank you!*
12319,"brave girl
"
12324,foda-se
12328,"
skincarEkit.info"
12338,Wow!!!!
12339,TRY WITH MILK OF MAGNESIA AFTER YOUR MAKEUP :) CONGRATS FROM CHILE
12362,Your eyes....*.*
12417,"
skincarEkit.info"
12431,Omg.
12488,YOURE BEAUTIFUL. &lt;3 AND YOU&#39;RE AMAZING FOR MAKING THIS VIDEO.
12517,u r great
12520,"gorgeous!!!!!! natural beauty
"
12527,cool
12563,Like;)
12592,She&#39;s*
12596,Wow! Russian SUBs!
12623,WTF
12636,I love your eyes
12677,Perf.
12691,your eyes&gt;&gt;&gt;
12697,Good!!!
12723,Wow
12724,Aren&#39;t you orange?
12761,Total respect
12762,Girl&quot;
12771,"omg, it&#39;s like magic
"
12831,U r beuatiful
12868,You&#39;re my hero... 
12869,Wow
12886,Wooow
12887,1:15 SHOCKING !!
12892,Cool
12934,"
skincarEkit.info"
12949,Shit
13009,I like your eyes
13010,THOSE EYESSSSSSSS OMG
13043,I like your eyes .
13056,I -3 ur eyes :)
13058,OMG!!!!!!! WITH YOUR MAKEUP YOU LOOK LIKE TAYLOR SWIFT!
13069,so brave
13084,Chemical peel!!!!
13132,I do
13150,"Hellooooooo!!!!!
"
13160,nice
13174,wow your popular
13182,"u r number 1
"
13219,"
skincarEkit.info"
13238,I love you :)
13257,SUBSCRIBED! :) I LOVE YOU! :D
13282,Hi Taylor
13286,Ghh
13343,respect
13357,"GIVEAWAY IN MY CHANNEL
CHECK IT OUT!"
13366,*skin
13412,"did you say utah??
"
13417,It
13472,Y-you too?
13485,cake face
13501,nice!
13569,*!!!
13589,You
13614,Thanking for
13625,-3
13634,omg! ew:(
13704,"
skincarEkit.info"
13711,eww
13732,Flawless!
13736,you&#39;re gorgeous
13755,thumbs up!
13782,WHAT A DIFFERENCE!!!!!!!! 
13786,Your eyes! O: &lt;3
13837,"
skincarEkit.info"
13891,Wow.....
13926,NO.
13943,FACE IN MAKE UP !!!
13997,Love your vids!
14036,B.E.A.U.T.I.F.U.L
14061,BEAUTIFUL LADY!!
14066,you&#39;re gorgeous (:
14082,WHAT IS THAT GREEN STOF ON YOUR FACE
14083,GO IN YOUR ROOM
14086,WHAT! WHAT HAPPENED!
14089,Your gorgeous
14094,YOU ARE BEAUTIFUL WITHOUT MAKEUP!!!!!!!!!! DONT BE AFRAID TO BE YOURSELF
14129,O.m.g
14158,So.much.foundation.
