Index,Index1,Comments
1,31,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m47s"">2:47</a> - <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m52s"">2:52</a> 😂😂😂😂😂😂😂"
2,73,"From <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m22s"">14:22</a> 😅"
3,91,ITS NOT EVEN A WAR ITS STRAIGHT GENOCIDE ONE SIDE HAS STICKS AND STONES THE OTHER THE MOST ADVANCED WEAPONS FROM THE U.S.
4,215,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m30s"">18:30</a>"
5,277,Thnx Tate
6,299,Tate for President 2024
7,331,WE LOVE YOU TATE
8,376,Happy birthday
9,388,MAY MY GOD HAVE MERCY ON US
10,390,Sick
11,421,SENSATIONALISM
12,472,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m26s"">1:26</a> 😂"
13,570,Emotional boy
14,578,WHAT A REAL G DONT PUT UP WITH IT
15,636,🔝G ON🔝
16,693,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=5m00s"">5:00</a>"
17,725,WOW
18,869,To many ...
19,890,WHEN THE GVT PEE TO PEOPLE COME THE ROLE OF JURNALIST TO CONVINCE PEOPLE  THAT IT RAIN
20,893,😂
21,1016,Tate for president.
22,1025,Wow
23,1070,Great interview.
24,1087,Tate speaking facts
25,1146,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m20s"">12:20</a> - <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m50s"">12:50</a> bravo"
26,1159,Top G
27,1223,DO YOU THINK HAMAS IS A TERROR ORGANIZATION?
28,1228,...
29,1295,Go tate
30,1303,Long live Top G
31,1333,Top G my G
32,1449,hmmm
33,1450,Interesting conversation
34,1482,Mr October Seven
35,1599,"PIERS WAY OUT OF TATES LEAGUE OF INTELLIGENTSIA, HONESTY, TRUTH &amp; INTEGRITY-!!!"
36,1643,3FREEPALESTINE
37,1773,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m30s"">30:30</a>"
38,1820,TOP G
39,1834,That
40,1855,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m07s"">13:07</a> Johnny Five?"
41,1859,SO WHAT ARE THEY SUPPOSED TO DO...ACCEPT OPPRESSION...
42,1904,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m00s"">30:00</a>"
43,2062,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a> fuck😂"
44,2202,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m47s"">1:47</a> 😂😂😂"
45,2276,Great Interview
46,2318,"Asininities <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m48s"">1:48</a>"
47,2330,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m34s"">22:34</a>"
48,2342,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=6m57s"">6:57</a> facts"
49,2344,Professional
50,2381,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m05s"">2:05</a> ???????"
51,2397,A professional ass holen
52,2518,True
53,2569,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m11s"">13:11</a>"
54,2578,FREE PALESTINE
55,2646,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=9m02s"">9:02</a> lol"
