Index,Comments
31,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m47s"">2:47</a> - <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m52s"">2:52</a> 😂😂😂😂😂😂😂"
73,"From <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m22s"">14:22</a> 😅"
91,ITS NOT EVEN A WAR ITS STRAIGHT GENOCIDE ONE SIDE HAS STICKS AND STONES THE OTHER THE MOST ADVANCED WEAPONS FROM THE U.S.
215,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m30s"">18:30</a>"
277,Thnx Tate
299,Tate for President 2024
331,WE LOVE YOU TATE
376,Happy birthday
388,MAY MY GOD HAVE MERCY ON US
390,Sick
421,SENSATIONALISM
472,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m26s"">1:26</a> 😂"
570,Emotional boy
578,WHAT A REAL G DONT PUT UP WITH IT
636,🔝G ON🔝
693,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=5m00s"">5:00</a>"
725,WOW
869,To many ...
890,WHEN THE GVT PEE TO PEOPLE COME THE ROLE OF JURNALIST TO CONVINCE PEOPLE  THAT IT RAIN
893,😂
1016,Tate for president.
1025,Wow
1070,Great interview.
1087,Tate speaking facts
1146,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m20s"">12:20</a> - <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m50s"">12:50</a> bravo"
1159,Top G
1223,DO YOU THINK HAMAS IS A TERROR ORGANIZATION?
1228,...
1295,Go tate
1303,Long live Top G
1333,Top G my G
1449,hmmm
1450,Interesting conversation
1482,Mr October Seven
1599,"PIERS WAY OUT OF TATES LEAGUE OF INTELLIGENTSIA, HONESTY, TRUTH &amp; INTEGRITY-!!!"
1643,3FREEPALESTINE
1773,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m30s"">30:30</a>"
1820,TOP G
1834,That
1855,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m07s"">13:07</a> Johnny Five?"
1859,SO WHAT ARE THEY SUPPOSED TO DO...ACCEPT OPPRESSION...
1904,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m00s"">30:00</a>"
2062,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a> fuck😂"
2202,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m47s"">1:47</a> 😂😂😂"
2276,Great Interview
2318,"Asininities <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m48s"">1:48</a>"
2330,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m34s"">22:34</a>"
2342,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=6m57s"">6:57</a> facts"
2344,Professional
2381,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m05s"">2:05</a> ???????"
2397,A professional ass holen
2518,True
2569,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m11s"">13:11</a>"
2578,FREE PALESTINE
2646,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=9m02s"">9:02</a> lol"
