Index,Index1,Comments
1,43,FREDDIE MERCURY
2,58,Gas!!!!!!!
3,60,Gas!!!!!!!
4,164,Freddy Mercury
5,182,Hahaha!! 😂😂
6,196,sup fam
7,213,Ban
8,229,Not for me
9,232,Is he OK?
10,254,omg you trippin
11,284,It’s Freddy Mercury
12,313,Freddy mercury
13,321,REACT TO KILLER QUEEN BY QUEEN
14,323,Freddy Mercury
15,326,Freddy Mercury
16,333,"<a href=""https://youtu.be/Lm4eFKekZ64"">https://youtu.be/Lm4eFKekZ64</a>"
17,366,sEE fARM AID 1985. gRrat!
18,377,Oh Yes Queen
19,418,He&#39;s coming out
20,434,Freddy Persian.
21,448,freddy murcury
22,449,Best reaction. Ever.
23,468,NO AUTOTUNE
24,557,STOP FUcK?ING YELL?ING HOLY FUck
25,570,Freddy mercury
26,573,freedy mercury
27,610,Im way behind
28,612,BIPOAR
29,613,An anthem
30,616,Fred Mercury
31,646,Twat
32,715,Coach
33,726,Do Queen - &quot;Cool Cat&quot;
34,730,Best reaction
35,733,u lying
36,741,Great reaction
37,751,Suppenkasper
38,761,FREDDIE MERCURY
39,771,SONG IS ABOUT GUY IN SONG KILLING HIMSELF
40,787,Fake!!
41,799,&#39;jou ron&#39;
42,807,Fukin masterpiece
43,820,Stereo man
44,840,FREDDIE MERCURY
45,888,Love
46,903,"Dude, Priceless!"
47,934,Best reaction!!
48,937,"HIS NAME IS FREDDY <a href=""http://mercury.one/"">MERCURY.ONE</a> OF MANY GREAT SONGS.FREDDY IS FROM IRAN BUT THEY ARE A BRITISH GROUP.{M.G}orig"
49,951,IVE WATCHED A LOT OF REACTIONS AND THIS IS THE BEST!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
50,987,Priceless!
51,1005,Uncommon Shit
52,1084,I CRIED EVERY TIME I HEARD THIS SONG BRUH
53,1088,Dawg lol
54,1142,Gus
55,1145,RIP Freddy Mercury
56,1171,Fake As Fuck !!
57,1206,"<a href=""https://youtu.be/i05gKtHWjGY"">https://youtu.be/i05gKtHWjGY</a>"
58,1212,I love your reaction
59,1243,Well Bisexual
60,1247,!!!!!!!!!!!!!!
61,1256,Freddy Mercury
62,1266,STRAIGHT BANGER
63,1299,Rip Mr mercury
64,1307,Freddy Mercury
65,1325,A Rock Opera
66,1326,Best reactor on YouTube
67,1366,Freddy mercury
68,1372,Freddy mercury
69,1440,Lmao
70,1503,Ohh you&#39;ve made my day!
71,1521,Freddy Mercury
72,1588,Freddy
73,1597,LOL
74,1604,Biggest YAWN on YouTube.
75,1615,Queen&#39;s forever
76,1617,GREAT TUNE!!!!!!!!!!!
77,1638,F R E D D I E M E R C U R Y
78,1673,😂
79,1681,You need help mate
80,1752,"<b>&quot;Mama, oooohhhh&quot;</b><br><br>Shaq: <b>oHOoHoHo</b>"
81,1772,I fucking LOVE you!!!!
82,1784,Freddy mercary
83,1823,Play it
84,1886,Freddy mercury
85,1923,THE SINGER IS THE LEGENDARY FREDDIE MERCURY!!!!!!!!!
86,1924,WAYNE&#39;S WORLD!!!!!!!!!!
87,1941,"<a href=""https://youtu.be/AEG_h2xB3g0"">https://youtu.be/AEG_h2xB3g0</a>"
88,1956,Freddy Mercury
89,1962,mama
90,1986,Let&#39;s. Fucking. Go. Shaq.
91,2031,Man ..... I love you !!!!
92,2052,Freddy mercury
93,2126,EVERYBODY HURTS BY R.E.M.
94,2128,FREDDIE MERCURY HE GONE TOO
95,2139,1974-1975
96,2199,"WHAT THE FUCK IS GOING ON<br><br>Lmao, yep."
97,2232,PLEASE REACT TO HOTEL CALIFORNIA BY THE EAGLES
98,2246,THATS TOUGH
99,2251,FREDDIE MERCURY
100,2274,HE NEEDS SHAKTHERAPY
101,2309,WTF IS GOING ON LMAO IM FUCKING DEAD
102,2355,That’s QUEEN
103,2399,Masterpiece!
104,2409,😂😂😂😂
105,2418,Bro
106,2464,"Great Band,,,,Love Queen!!!!"
107,2490,Freddy mercury
108,2492,Rest In Peace Freddy Mercury
109,2495,FREDDIE FUCKING MERCURY GOAT!!
110,2500,😀
111,2526,Freddy mercury
112,2531,"Rock Opera, Baby."
113,2537,Best reaction!  Thank you!
114,2586,I love your reactions
115,2619,Freddy Mercury
116,2622,Freddy Mercury
117,2625,My guy reppin my Bucks!!!
118,2665,Freddy Mercury
119,2687,Do break free my boy?!!!!??
120,2688,Break free!!!!!
121,2761,It&#39;s Freddy Mercury
122,2777,FREDDY FUCKIN MERCURY!!!!!!
123,2798,Im RAGING ON THIS SIDE AND CRYING ON THE OTHER LMAO
124,2811,Lol
125,2904,Great video.
126,2920,"<a href=""http://google.ca/"">Google.ca</a>"
127,2924,YOU&#39;VE GOTTA LISTEN TO QUEEN - KILLER QUEEN!!!!!
128,2961,JOHN LENNON- IMAGINE
129,2962,Freddy Mercury
130,2992,Freddy Mercury!!!! Rip
131,3043,Love your reaction
132,3083,"<a href=""https://www.youtube.com/watch?v=hzFpiW5vHrc"">https://www.youtube.com/watch?v=hzFpiW5vHrc</a>"
133,3146,FREDDY MERCURY!!!!! LEGEND!!
134,3164,Freddy Mercury
135,3209,I love your reaction.
136,3271,U2
137,3272,Gloria.  U2
138,3273,Bad.        U2
139,3280,😂
140,3288,masterpeace.
141,3291,Freddy Mercury
142,3343,Freddy murky
143,3412,STOP SHOUTING ITS ANNOYING
144,3416,"PLEASE! CHECK THIS OUT...LOVE YA MAN...<a href=""https://youtu.be/ZCkHanF4v1w?t=20,,,"">https://youtu.be/ZCkHanF4v1w?t=20,,,</a>, 6; 25"
145,3458,Quadriphonic  Sounds
146,3464,LONG LIVE THE QUEEN
147,3470,😂😂😂😂
148,3512,Rock Opera!!!!!
149,3518,Greatness!
150,3540,OMG ITS FREDDIE MERCURY
151,3555,Freddy Mercury
152,3593,YOU   sooooo  funny.!!!!!!!!!!!!!   LOVE  IT..!
153,3611,November Rain Guns n Roses
154,3621,"FREDDIE MERCURY, my man!!!"
155,3630,Great review...very entertaining.
156,3634,WATCH LIVE AID
157,3653,RIP Freddy
158,3657,&quot;bro... WHAT THE FUCK IS GOING ON!?&quot; HAHAHAHAHA
159,3658,ty
160,3665,Fred!
161,3751,I SWEAR TO CHRIST HE IS THE FUNNIEST SON OF A BITCH EVER
162,3805,Freddy Mercury
163,3827,Hahahaha! love it!
164,3830,Rock opera
165,3879,Thank you Freddy!
166,3913,BEST QUEEN REACTION EVER...
167,3914,BEST QUEEN REACTION EVER...
168,3979,625 700..😂😂😂
169,3986,"<a href=""https://youtu.be/_DRImik3MBo"">https://youtu.be/_DRImik3MBo</a>"
170,4002,Freddy Mercury
171,4023,Freddy mercury
172,4042,Best. Reaction. Ever.
173,4045,Your a fool
174,4056,Freddy mercury
175,4057,Or ANYTHING slipknot
176,4092,Do one PINK FLOYD reaction.
177,4105,KEEP THIS GOING
178,4161,Freddy
179,4163,Freddy Mercury.
180,4186,Your too cute .....
181,4196,U can&#39;t beat Queen
182,4251,Classiccccc
183,4326,Your expressions...OMG!
