Index,Comments
43,FREDDIE MERCURY
58,Gas!!!!!!!
60,Gas!!!!!!!
164,Freddy Mercury
182,Hahaha!! 😂😂
196,sup fam
213,Ban
229,Not for me
232,Is he OK?
254,omg you trippin
284,It’s Freddy Mercury
313,Freddy mercury
321,REACT TO KILLER QUEEN BY QUEEN
323,Freddy Mercury
326,Freddy Mercury
333,"<a href=""https://youtu.be/Lm4eFKekZ64"">https://youtu.be/Lm4eFKekZ64</a>"
366,sEE fARM AID 1985. gRrat!
377,Oh Yes Queen
418,He&#39;s coming out
434,Freddy Persian.
448,freddy murcury
449,Best reaction. Ever.
468,NO AUTOTUNE
557,STOP FUcK?ING YELL?ING HOLY FUck
570,Freddy mercury
573,freedy mercury
610,Im way behind
612,BIPOAR
613,An anthem
616,Fred Mercury
646,Twat
715,Coach
726,Do Queen - &quot;Cool Cat&quot;
730,Best reaction
733,u lying
741,Great reaction
751,Suppenkasper
761,FREDDIE MERCURY
771,SONG IS ABOUT GUY IN SONG KILLING HIMSELF
787,Fake!!
799,&#39;jou ron&#39;
807,Fukin masterpiece
820,Stereo man
840,FREDDIE MERCURY
888,Love
903,"Dude, Priceless!"
934,Best reaction!!
937,"HIS NAME IS FREDDY <a href=""http://mercury.one/"">MERCURY.ONE</a> OF MANY GREAT SONGS.FREDDY IS FROM IRAN BUT THEY ARE A BRITISH GROUP.{M.G}orig"
951,IVE WATCHED A LOT OF REACTIONS AND THIS IS THE BEST!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
987,Priceless!
1005,Uncommon Shit
1084,I CRIED EVERY TIME I HEARD THIS SONG BRUH
1088,Dawg lol
1142,Gus
1145,RIP Freddy Mercury
1171,Fake As Fuck !!
1206,"<a href=""https://youtu.be/i05gKtHWjGY"">https://youtu.be/i05gKtHWjGY</a>"
1212,I love your reaction
1243,Well Bisexual
1247,!!!!!!!!!!!!!!
1256,Freddy Mercury
1266,STRAIGHT BANGER
1299,Rip Mr mercury
1307,Freddy Mercury
1325,A Rock Opera
1326,Best reactor on YouTube
1366,Freddy mercury
1372,Freddy mercury
1440,Lmao
1503,Ohh you&#39;ve made my day!
1521,Freddy Mercury
1588,Freddy
1597,LOL
1604,Biggest YAWN on YouTube.
1615,Queen&#39;s forever
1617,GREAT TUNE!!!!!!!!!!!
1638,F R E D D I E M E R C U R Y
1673,😂
1681,You need help mate
1752,"<b>&quot;Mama, oooohhhh&quot;</b><br><br>Shaq: <b>oHOoHoHo</b>"
1772,I fucking LOVE you!!!!
1784,Freddy mercary
1823,Play it
1886,Freddy mercury
