Index,Index1,Comments
1,0,Kylie=goat
2,7,interest
3,34,UNSUBSCRIBE HER YOU ALL
4,39,otay killied me
5,40,GLOG!!!!
6,58,Disgusting
7,61,Your my  favorite YouTuber
8,62,IMMMMMMM LICK NEI
9,63,ek!
10,64,SAbia
11,67,fat shhhhhhhhh
12,81,cute
13,134,Hi
14,144,"<a href=""https://youtube.com/@PLAYYNow"">https://youtube.com/@PLAYYNow</a>"
15,152,So gorgeous
16,182,Honey you don&#39;t need makeup
17,201,OMGGGGGG SO ARRECHA
18,204,Hi Kylie
19,205,Love you
20,218,I need more vlogs
21,278,MRS GURL STORMI HAS 10000X MORE CLOTHES THEN I DO
22,307,BAHAHAHAHA
23,308,BAHAHAHA
24,324,KIM
25,334,5:00am
26,337,Love you  Kylie
27,338,"<a href=""https://youtu.be/6RlHmMdO-8Q"">https://youtu.be/6RlHmMdO-8Q</a>"
28,398,K? K.
29,401,Kolumbiana
30,405,Not your stormi
31,414,K 🙄
32,446,Lol
33,489,https://youtu.be/QWaYeNDp7Gg
34,553,GIRL I HAVE YOUR LIP GLOSS
35,556,SUCH A NICE LIFE
36,563,Queenn
37,565,l love you
38,572,I Love you
39,596,Hello
40,602,God
41,603,STORMI IS SO CUTE &lt;33
42,615,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
43,616,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
44,617,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
45,625,First lady
46,632,My sister not look like trans
47,645,"<a href=""https://youtu.be/lTO72V0lD3k"">https://youtu.be/lTO72V0lD3k</a>"
48,651,&lt;3
49,656,You look fab!
50,669,"<a href=""https://youtu.be/NsY0HQ1-HPc"">https://youtu.be/NsY0HQ1-HPc</a>"
51,725,Jock
52,734,Kept your positively strong!
53,745,I love you Kylie.
54,751,hi
55,755,Hey  Kylie
56,767,Inspiration
57,773,gurl
58,776,It’s so offensive
59,784,Wawww
60,788,I love it
61,805,Hi
62,809,poo
63,834,UPDATEE!!!!
64,850,I love you
65,870,Your a great mom
66,878,Oi
67,889,I like
68,890,Love
69,891,Te amo
70,896,Love her!
71,902,"<a href=""https://youtu.be/aYWvWJfliH8"">https://youtu.be/aYWvWJfliH8</a>"
72,922,stormy!
73,949,Hi
74,956,Omg I love you so much Kylie
75,957,Kendallllll
76,959,Mean
77,962,Lucky
78,981,I love you Kylie
79,1004,"<a href=""https://youtu.be/wC_63_o0ONU"">https://youtu.be/wC_63_o0ONU</a>"
80,1017,Sooo cutee
81,1020,Up
82,1022,Up
83,1025,stormi baby
84,1030,Hi Kylie
