Index,Comments
0,Kylie=goat
7,interest
34,UNSUBSCRIBE HER YOU ALL
39,otay killied me
40,GLOG!!!!
58,Disgusting
61,Your my  favorite YouTuber
62,IMMMMMMM LICK NEI
63,ek!
64,SAbia
67,fat shhhhhhhhh
81,cute
134,Hi
144,"<a href=""https://youtube.com/@PLAYYNow"">https://youtube.com/@PLAYYNow</a>"
152,So gorgeous
182,Honey you don&#39;t need makeup
201,OMGGGGGG SO ARRECHA
204,Hi Kylie
205,Love you
218,I need more vlogs
278,MRS GURL STORMI HAS 10000X MORE CLOTHES THEN I DO
307,BAHAHAHAHA
308,BAHAHAHA
324,KIM
334,5:00am
337,Love you  Kylie
338,"<a href=""https://youtu.be/6RlHmMdO-8Q"">https://youtu.be/6RlHmMdO-8Q</a>"
398,K? K.
401,Kolumbiana
405,Not your stormi
414,K 🙄
446,Lol
489,https://youtu.be/QWaYeNDp7Gg
553,GIRL I HAVE YOUR LIP GLOSS
556,SUCH A NICE LIFE
563,Queenn
565,l love you
572,I Love you
596,Hello
602,God
603,STORMI IS SO CUTE &lt;33
615,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
616,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
617,"<a href=""https://youtu.be/oaNfoWS70AU"">https://youtu.be/oaNfoWS70AU</a>"
625,First lady
632,My sister not look like trans
645,"<a href=""https://youtu.be/lTO72V0lD3k"">https://youtu.be/lTO72V0lD3k</a>"
651,&lt;3
656,You look fab!
669,"<a href=""https://youtu.be/NsY0HQ1-HPc"">https://youtu.be/NsY0HQ1-HPc</a>"
725,Jock
734,Kept your positively strong!
745,I love you Kylie.
751,hi
755,Hey  Kylie
767,Inspiration
773,gurl
776,It’s so offensive
784,Wawww
788,I love it
805,Hi
809,poo
834,UPDATEE!!!!
850,I love you
870,Your a great mom
878,Oi
889,I like
890,Love
891,Te amo
896,Love her!
902,"<a href=""https://youtu.be/aYWvWJfliH8"">https://youtu.be/aYWvWJfliH8</a>"
922,stormy!
949,Hi
956,Omg I love you so much Kylie
957,Kendallllll
959,Mean
962,Lucky
981,I love you Kylie
1004,"<a href=""https://youtu.be/wC_63_o0ONU"">https://youtu.be/wC_63_o0ONU</a>"
1017,Sooo cutee
1020,Up
1022,Up
1025,stormi baby
1030,Hi Kylie
1033,"<a href=""https://www.youtube.com/watch?v=LwAFllV8ETI&amp;t=128s"">https://www.youtube.com/watch?v=LwAFllV8ETI&amp;t=128s</a>"
1037,I love you Kylie
1043,were travis
1052,222
1056,https://youtube.com/shorts/sQrVnnevT1c?feature=share
1057,https://youtu.be/sQrVnnevT1c
1059,hello
1072,screams screams screamsss
1074,"<a href=""https://youtu.be/OVaiRiaps4c"">https://youtu.be/OVaiRiaps4c</a>"
1081,I love Kris!
1100,Stop flying.
1107,hola😂
1122,I love you!
1123,Boring
1134,Hi
1171,I&#39;m love you kylie
1178,". <a href=""https://youtu.be/z28dRD45UGk"">https://youtu.be/z28dRD45UGk</a>"
1207,0
1233,Awwww Ariel!!!!!!!
1234,Are you single?
1237,Purse collection omg
1242,my baby
1270,Love your family
1283,Very good
1295,Hi
1301,Love your videos
1303,Happy birthday Arial
1316,love you
1321,KRISSES HAND ACTIONS BYE
1364,I love you
1368,B
1369,Omg stormi looks so cute
1373,https://youtu.be/WGXTWQrGlxg
1375,I love you
1378,yes
1390,Lol
1404,Yes
1413,"<a href=""https://youtube.com/channel/UCfM_I080bDwpL5K54_jQK1g"">https://youtube.com/channel/UCfM_I080bDwpL5K54_jQK1g</a>"
1423,Hi
1424,I love ur vlogs
1427,Stormy so cute
1428,Omg
1430,Lol
1432,Stormi looked so cute
1435,Stormiiiii
1436,Very Nice Kylie<br>Thank You.
1448,Kylie&#39;s life ]&gt;&gt;&gt;&gt;&gt;&gt;&gt;
1452,"<a href=""https://youtu.be/VmaTWpkEXHs"">https://youtu.be/VmaTWpkEXHs</a>"
1454,"<a href=""https://youtu.be/ZFRahWWZV5w"">https://youtu.be/ZFRahWWZV5w</a>"
1461,Oh my Card I love you Kylie
1463,Beauty
1498,WHAT IS VGNORE?
1500,Hhhhh
1501,omg
1503,Love
1510,Hi
1511,Yes
1512,Si
1532,Hii
1538,F
1553,Ohhhh
1556,Helllo
1557,Hi
1566,love kylie
1576,Use heat seeking
1578,"<a href=""https://youtu.be/rmSd_s0W-vQ"">https://youtu.be/rmSd_s0W-vQ</a>"
1595,Nice
1606,Yu
1610,Neat
1640,Love you kylie
1642,Wow
1646,yasss
1649,Glog
1683,&quot;Subscribe b*tch&quot;
1685,Always Eat
1714,😘😘
1720,Hi
1725,More
1747,Glog!
1752,Is Stormi a girl Kylie
1757,hi
1758,Hi kylie
1760,Omg. I. Love. You. Sooo.  Much
1762,Lol
1763,sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo cut
1773,"<a href=""https://www.youtube.com/watch?v=n8Xd9j0_b8k"">https://www.youtube.com/watch?v=n8Xd9j0_b8k</a>"
1774,Hi stormi  I love you
1792,We   love  you  Kim
1793,Ay Love Kylie
1799,I love you so much
1809,ThIs Is AwKwArD
1810,I love your Videos
1821,I Love
1824,.
1829,i love you kaylie
1833,hello
1842,$2000
1856,Funny 😇
1860,Love ur purse girl
1863,Very Sweet
1866,Hi
1874,the BEST!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1875,I love kylie
1883,2022
1888,"<a href=""https://youtube.com/shorts/M9JlDvIu7PY?feature=share"">https://youtube.com/shorts/M9JlDvIu7PY?feature=share</a>"
1889,😘😘😘😘😘😘
1901,SHE HAS ALOT OF BAGS
1909,Hi
1911,Ok
1928,I WISH I HAD THAT MANY HAND BAGS :(
1931,I love car roof Inside
1993,Yuck.
1996,Love kylie
2003,THAT BAG ROOM :OOO
2026,LOVE U BABE
2042,I love it
2043,From India
2077,THAT GIRL RICH RICH
2086,We need more vlogs)))
2092,My fav!!!!!
2099,Hi
2125,Hi stormi
